latitude,longitude,distancia_km,nv_2024,municipio,uf
-11.533,-57.4132,236,88,Porto dos Gaúchos,MT
-7.09128,-43.5033,235,54,Jerumenha,PI
-14.4265,-54.0524,235,387,Paranatinga,MT
-16.9707,-40.6727,235,74,Santa Helena de Minas,MG
-19.1179,-51.7313,234,252,Cassilândia,MS
-18.7646,-51.3485,234,79,Itarumã,GO
-10.3482,-39.8391,234,157,Andorinha,BA
-13.7801,-47.2659,234,39,Teresina de Goiás,GO
-11.0859,-43.1459,233,750,Barra,BA
-4.62806,-45.4531,233,92,Marajá do Sena,MA
-14.1011,-46.6335,233,172,Iaciara,GO
-16.8488,-40.1641,233,99,Jucuruçu,BA
-11.0614,-55.2766,232,99,Itaúba,MT
-19.0216,-53.0116,232,58,Paraíso das Águas,MS
-14.1978,-49.3378,232,93,Alto Horizonte,GO
-13.787,-48.5704,232,39,Campinaçu,GO
-14.5604,-46.178,232,55,Damianópolis,GO
-9.83325,-39.4794,232,253,Uauá,BA
-8.51136,-41.0095,231,229,Afrânio,PE
-4.06873,-45.69,231,901,Santa Luzia,MA
-17.3554,-52.6799,230,27,Portelândia,GO
-17.2548,-40.5779,230,26,Umburatiba,MG
-22.011,-57.0277,230,68,Caracol,MS
-18.3255,-53.7042,229,46,Alcinópolis,MS
-6.94082,-41.8889,229,48,São João da Varjota,PI
-7.03687,-41.3767,229,89,Sussuapara,PI
-6.81203,-41.3415,228,40,São João da Canabrava,PI
-12.4169,-41.7722,228,662,Seabra,BA
-14.2868,-49.3872,228,23,Nova Iguaçu de Goiás,GO
-10.7433,-40.3675,228,267,Pindobaçu,BA
-12.9287,-46.9359,228,130,Arraias,TO
-10.961,-40.574,227,124,Mirangaba,BA
-16.8691,-41.2473,227,63,Monte Formoso,MG
-7.01915,-42.1283,227,459,Oeiras,PI
-14.5412,-49.974,227,179,Crixás,GO
-13.6329,-49.8106,227,41,Bonópolis,GO
-17.8926,-39.3743,227,481,Nova Viçosa,BA
-5.12593,-60.3732,227,351,Novo Aripuanã,AM
2.05267,-50.7957,226,141,Amapá,AP
-15.0909,-50.6315,226,34,Araguapaz,GO
-13.7976,-47.4566,226,174,Cavalcante,GO
-16.1966,-52.5393,226,24,Baliza,GO
-6.82421,-41.7381,226,79,Ipiranga do Piauí,PI
-14.4326,-49.7091,226,94,Santa Terezinha de Goiás,GO
-16.8898,-40.923,226,46,Fronteira dos Vales,MG
-6.81936,-41.3175,226,21,São Luis do Piauí,PI
-18.4472,-50.4547,225,616,Quirinópolis,GO
-12.0783,-41.0954,225,215,Utinga,BA
-2.74081,-58.0293,225,157,Itapiranga,AM
-13.6587,-57.8907,225,823,Campo Novo do Parecis,MT
-17.0802,-40.9384,225,251,Águas Formosas,MG
0.951659,-59.9133,225,138,São João da Baliza,RR
-10.1244,-44.9503,225,44,Riacho Frio,PI
-7.15476,-41.3409,224,74,Geminiano,PI
-15.1303,-58.1317,224,41,Salto do Céu,MT
-2.76141,-42.2755,224,924,Tutóia,MA
-9.86215,-62.1876,224,73,Vale do Anari,RO
-4.98893,-45.3816,224,207,Lagoa Grande do Maranhão,MA
-4.16598,-45.4706,224,70,Altamira do Maranhão,MA
-9.44363,-61.9818,224,436,Machadinho D'Oeste,RO
-16.2006,-52.5571,224,31,Torixoréu,MT
-13.7303,-49.2745,224,51,Mutunópolis,GO
-6.94124,-41.3168,224,43,Bocaina,PI
-19.0673,-51.5495,223,49,Itajá,GO
-8.13436,-41.1431,223,314,Paulistana,PI
-6.16207,-44.8979,223,236,Fernando Falcão,MA
-33.6866,-53.4594,223,33,Chuí,RS
-15.6276,-58.1772,223,189,São José dos Quatro Marcos,MT
-18.6782,-53.638,223,41,Figueirão,MS
-29.7902,-55.7949,222,705,Alegrete,RS
-7.93063,-41.2075,222,55,Jacobina do Piauí,PI
-8.21954,-41.0831,221,64,Acauã,PI
-15.7664,-51.1037,221,49,Santa Fé de Goiás,GO
-16.7473,-41.5025,221,129,Ponto dos Volantes,MG
-17.8323,-46.5165,221,81,Lagoa Grande,MG
-1.93639,-50.8194,221,1517,Portel,PA
-15.2483,-58.1259,221,62,Rio Branco,MT
-13.7138,-49.0144,221,57,Santa Tereza de Goiás,GO
-6.73047,-44.0471,221,37,Nova Iorque,MA
-18.2048,-45.2473,221,377,Três Marias,MG
-13.5304,-48.2206,220,339,Minaçu,GO
-5.49682,-45.2485,220,1367,Barra do Corda,MA
-12.5059,-41.5809,220,130,Palmeiras,BA
-11.3007,-56.8312,220,158,Tabaporã,MT
-17.4439,-51.1728,220,180,Montividiu,GO
-4.28184,-45.2505,219,435,Vitorino Freire,MA
-10.9298,-69.5738,219,216,Assis Brasil,AC
-10.3225,-44.2381,219,62,Júlio Borges,PI
-14.4772,-46.4076,218,33,Buritinópolis,GO
-17.6056,-40.3383,218,35,Lajedão,BA
-16.2329,-51.2543,218,21,Diorama,GO
-16.61,-41.7672,218,152,Itinga,MG
-8.02529,-50.0317,218,1529,Redenção,PA
-2.84048,-42.1189,218,142,Água Doce do Maranhão,MA
-10.2166,-44.63,218,144,Parnaguá,PI
-19.7277,-51.9281,218,123,Inocência,MS
-15.7094,-52.7574,218,111,General Carneiro,MT
-3.109,-42.4064,218,115,Santana do Maranhão,MA
-7.67231,-41.2408,218,41,Patos do Piauí,PI
-8.15697,-70.7722,218,1021,Tarauacá,AC
-10.7171,-43.6302,218,285,Buritirama,BA
-20.537,-56.7127,217,95,Bodoquena,MS
-8.99452,-40.2767,217,332,Lagoa Grande,PE
-18.5013,-54.751,217,431,Coxim,MS
-13.035,-46.7681,216,266,Campos Belos,GO
-7.81097,-50.7698,216,158,Cumaru do Norte,PA
-12.2875,-50.9686,216,22,Novo Santo Antônio,MT
-10.9428,-40.4155,216,91,Saúde,BA
-12.1873,-46.9797,216,21,Taipas do Tocantins,TO
-6.95983,-46.1749,216,195,Fortaleza dos Nogueiras,MA
-14.805,-53.6075,215,75,Santo Antônio do Leste,MT
-10.5464,-46.4168,215,28,Mateiros,TO
-13.6499,-48.8775,215,45,Formoso,GO
-7.12263,-46.2607,215,91,Nova Colinas,MA
-8.85784,-49.7215,215,194,Santa Maria das Barreiras,PA
-17.6832,-40.1129,214,93,Ibirapuã,BA
-17.7923,-50.9192,214,3388,Rio Verde,GO
-15.6759,-58.0951,214,375,Mirassol d'Oeste,MT
-3.66689,-45.8421,214,398,Alto Alegre do Pindaré,MA
1.01019,-60.0419,214,94,São Luiz,RR
-5.865,-41.0389,213,95,Assunção do Piauí,PI
-4.44485,-45.2398,213,344,Paulo Ramos,MA
-14.4644,-46.4847,213,46,Simolândia,GO
-16.7364,-40.4296,213,58,Palmópolis,MG
-3.00212,-47.3527,213,1681,Paragominas,PA
-6.665,-41.7041,213,163,Inhuma,PI
-6.98676,-41.2252,213,64,Santo Antônio de Lisboa,PI
-10.7405,-40.1437,213,235,Filadélfia,BA
-12.3132,-42.8969,213,245,Oliveira dos Brejinhos,BA
-14.4797,-46.491,212,102,Alvorada do Norte,GO
0.939956,-60.4389,211,549,Rorainópolis,RR
-15.4342,-50.7456,211,55,Matrinchã,GO
-10.4704,-50.514,211,96,Santa Terezinha,MT
-18.7618,-50.9432,211,99,Cachoeira Alta,GO
-17.2381,-40.9184,210,55,Crisólita,MG
-14.7992,-46.2506,210,32,Sítio d'Abadia,GO
-5.8425,-40.7002,210,221,Quiterianópolis,CE
-12.2819,-41.1715,210,85,Wagner,BA
-6.97023,-42.6773,209,87,Nazaré do Piauí,PI
-14.3137,-49.1511,209,156,Campinorte,GO
-9.16226,-39.0518,209,90,Macururé,BA
-13.2731,-50.1634,209,259,São Miguel do Araguaia,GO
